Data_Venda,Canal_de_Venda,Local_de_Venda,PAX,Monetario_Vendido,RPK
11/2/2016,TeleVenda,Mindscape,75,"4,606.27",9320
11/3/2016,Telegrafo,Arena,133,"9,497.26",19555
11/3/2016,TeleVenda,Arena,1853,"81,680.52",265375
11/3/2016,Telegrafo,Mindscape,83,"6,103.50",10207
11/3/2016,Porta a Porta,Mindscape,987,"38,006.29",115339
11/3/2016,TeleVenda,Mindscape,116,"7,124.93",14900
11/3/2016,Porta a Porta,Arena,1071,"50,346.68",147561
11/3/2016,Telegrafo,Vast,103,"9,951.66",4291
11/3/2016,Telegrafo,Ellipsis,62,"4,731.81",3853
11/3/2016,TeleVenda,Ellipsis,196,"11,203.45",12031
11/3/2016,TeleVenda,Vast,1590,"42,061.29",73115
11/3/2016,Porta a Porta,Ellipsis,907,"25,287.19",50452
11/3/2016,TeleVenda,Mindscape,1323,"53,584.29",161499
11/3/2016,TeleVenda,Vast,241,"13,937.55",11363
11/3/2016,TeleVenda,Arena,225,"15,123.17",35136
11/3/2016,Porta a Porta,Vast,1236,"28,653.79",54957
11/3/2016,TeleVenda,Ellipsis,1290,"38,648.56",72082
11/4/2016,TeleVenda,Arena,230,"17,169.35",35959
11/4/2016,Telegrafo,Mindscape,63,"4,058.28",7881
11/4/2016,TeleVenda,Mindscape,1386,"56,763.13",167333
11/4/2016,Telegrafo,Ellipsis,53,"3,053.80",3069
11/4/2016,TeleVenda,Ellipsis,1323,"40,750.15",71350
11/4/2016,Porta a Porta,Mindscape,775,"32,887.88",91049
11/4/2016,Porta a Porta,Arena,811,"41,946.07",111228
11/4/2016,Porta a Porta,Vast,1276,"29,869.22",57466
11/4/2016,Telegrafo,Vast,69,"3,246.93",3101
11/4/2016,TeleVenda,Ellipsis,201,"11,849.65",12260
11/4/2016,TeleVenda,Mindscape,112,"8,420.15",13803
11/4/2016,Telegrafo,Arena,96,"6,177.17",13854
11/4/2016,TeleVenda,Vast,268,"16,008.92",12726
11/4/2016,TeleVenda,Vast,1821,"49,891.14",85367
11/4/2016,Porta a Porta,Ellipsis,801,"24,685.48",44913
11/4/2016,TeleVenda,Arena,1685,"76,421.73",236866
11/5/2016,TeleVenda,Mindscape,1378,"60,813.49",164710
11/5/2016,Telegrafo,Ellipsis,42,"2,695.44",2399
11/5/2016,TeleVenda,Arena,206,"15,726.53",32153
11/5/2016,Porta a Porta,Vast,1314,"30,005.76",61962
11/5/2016,Porta a Porta,Mindscape,877,"34,594.72",98153
11/5/2016,TeleVenda,Vast,248,"17,884.15",11969
11/5/2016,TeleVenda,Vast,1759,"51,527.72",83545
11/5/2016,Porta a Porta,Arena,1054,"51,639.88",148127
11/5/2016,Telegrafo,Mindscape,75,"6,437.64",10241
11/5/2016,TeleVenda,Ellipsis,1294,"42,059.42",71453
11/5/2016,TeleVenda,Mindscape,111,"8,197.12",13306
11/5/2016,Porta a Porta,Ellipsis,840,"25,932.48",45562
11/5/2016,TeleVenda,Ellipsis,205,"14,217.04",12101
11/5/2016,Telegrafo,Arena,132,"8,209.86",19013
11/5/2016,Telegrafo,Vast,72,"3,545.32",3173
11/5/2016,TeleVenda,Arena,1993,"90,636.16",291898
11/6/2016,TeleVenda,Arena,185,"14,537.45",28811
11/6/2016,Porta a Porta,Arena,1078,"50,722.96",147535
11/6/2016,TeleVenda,Ellipsis,215,"14,133.68",12652
11/6/2016,TeleVenda,Mindscape,114,"8,143.06",14202
11/6/2016,Telegrafo,Vast,75,"2,130.13",3582
11/6/2016,TeleVenda,Vast,255,"16,764.30",12395
11/6/2016,TeleVenda,Arena,2290,"95,390.18",331083
11/6/2016,Porta a Porta,Mindscape,856,"32,680.60",96071
11/6/2016,Porta a Porta,Ellipsis,699,"22,611.63",38550
11/6/2016,TeleVenda,Mindscape,1515,"61,535.42",182888
11/6/2016,TeleVenda,Ellipsis,1401,"44,342.98",76503
11/6/2016,TeleVenda,Vast,2179,"58,268.05",102935
11/6/2016,Porta a Porta,Vast,1544,"32,765.60",71257
11/6/2016,Telegrafo,Arena,147,"8,161.74",20813
11/6/2016,Telegrafo,Mindscape,76,"4,509.80",9915
11/6/2016,Telegrafo,Ellipsis,41,"2,275.63",2279
11/7/2016,Porta a Porta,Ellipsis,789,"18,990.19",40435
11/7/2016,Telegrafo,Ellipsis,45,"2,362.89",2497
11/7/2016,TeleVenda,Mindscape,1089,"29,280.85",126746
11/7/2016,TeleVenda,Ellipsis,98,"6,563.82",5989
11/7/2016,TeleVenda,Ellipsis,922,"18,649.58",50304
11/7/2016,TeleVenda,Arena,1575,"53,439.33",223780
11/7/2016,TeleVenda,Vast,123,"7,356.47",5534
11/7/2016,Telegrafo,Arena,111,"6,065.22",16174
11/7/2016,TeleVenda,Arena,127,"9,039.85",19729
11/7/2016,TeleVenda,Vast,1559,"24,081.23",69526
11/7/2016,Porta a Porta,Mindscape,985,"29,328.05",105345
11/7/2016,Porta a Porta,Vast,1909,"29,333.07",81306
11/7/2016,Telegrafo,Vast,77,"2,983.03",3480
11/7/2016,Telegrafo,Mindscape,71,"4,813.18",9316
11/7/2016,Porta a Porta,Arena,1084,"42,420.19",144695
11/7/2016,TeleVenda,Mindscape,55,"3,426.45",6527
11/8/2016,TeleVenda,Arena,116,"8,553.28",18264
11/8/2016,Porta a Porta,Arena,887,"38,652.40",119256
11/8/2016,Telegrafo,Vast,82,"3,999.99",3261
11/8/2016,Telegrafo,Mindscape,53,"4,153.55",6129
11/8/2016,TeleVenda,Ellipsis,78,"4,488.51",4756
11/8/2016,Porta a Porta,Ellipsis,950,"21,667.45",48504
11/8/2016,Telegrafo,Ellipsis,38,"2,770.90",2160
11/8/2016,Telegrafo,Arena,64,"4,243.91",9350
11/8/2016,TeleVenda,Vast,1434,"22,231.83",62666
11/8/2016,Porta a Porta,Mindscape,1118,"31,953.30",113157
11/8/2016,TeleVenda,Mindscape,45,"2,433.65",5716
11/8/2016,TeleVenda,Ellipsis,935,"18,316.17",50592
11/8/2016,TeleVenda,Vast,108,"6,365.22",4713
11/8/2016,Porta a Porta,Vast,1962,"30,148.74",82711
11/8/2016,TeleVenda,Arena,1047,"35,798.39",150298
11/8/2016,TeleVenda,Mindscape,959,"23,904.56",105206
11/9/2016,TeleVenda,Ellipsis,253,"17,132.76",15026
11/9/2016,TeleVenda,Arena,2360,"97,762.36",341223
11/9/2016,Telegrafo,Mindscape,86,"6,229.68",11035
11/9/2016,Telegrafo,Arena,160,"9,530.37",23887
11/9/2016,Porta a Porta,Arena,1342,"64,295.62",182970
11/9/2016,TeleVenda,Vast,2065,"58,459.13",96792
11/9/2016,Telegrafo,Vast,80,"5,029.36",3608
11/9/2016,TeleVenda,Arena,232,"17,080.01",36306
11/9/2016,Porta a Porta,Vast,1705,"35,602.08",76454
11/9/2016,Porta a Porta,Ellipsis,965,"29,259.19",52417
11/9/2016,Porta a Porta,Mindscape,1129,"39,473.14",121548
11/9/2016,Telegrafo,Ellipsis,58,"3,338.97",3277
11/9/2016,TeleVenda,Ellipsis,1455,"43,312.64",79195
11/9/2016,TeleVenda,Mindscape,1578,"58,909.83",185345
11/9/2016,TeleVenda,Mindscape,121,"8,672.94",14045
11/9/2016,TeleVenda,Vast,282,"18,923.29",13614
11/10/2016,TeleVenda,Ellipsis,1461,"45,530.98",81241
11/10/2016,TeleVenda,Arena,232,"17,700.73",36697
11/10/2016,Telegrafo,Mindscape,86,"6,299.63",10641
11/10/2016,Porta a Porta,Vast,1350,"32,550.35",64496
11/10/2016,TeleVenda,Arena,2338,"95,902.89",336268
11/10/2016,Porta a Porta,Mindscape,902,"35,025.66",100470
11/10/2016,TeleVenda,Mindscape,124,"8,177.83",15080
11/10/2016,TeleVenda,Mindscape,1532,"60,222.30",183632
11/10/2016,Porta a Porta,Arena,1216,"60,306.42",167000
11/10/2016,Telegrafo,Arena,158,"9,463.63",22413
11/10/2016,TeleVenda,Vast,2102,"61,561.53",100813
11/10/2016,Porta a Porta,Ellipsis,825,"26,496.27",44790
11/10/2016,Telegrafo,Vast,76,"4,410.61",3442
11/10/2016,TeleVenda,Ellipsis,249,"16,759.85",15273
11/10/2016,TeleVenda,Vast,308,"20,399.13",14875
11/10/2016,Telegrafo,Ellipsis,60,"3,440.22",3376
11/11/2016,TeleVenda,Mindscape,128,"8,144.11",15039
11/11/2016,TeleVenda,Vast,312,"20,493.03",15216
11/11/2016,TeleVenda,Ellipsis,1558,"48,157.46",83891
11/11/2016,TeleVenda,Arena,2441,"101,658.40",359217
11/11/2016,Porta a Porta,Arena,1268,"61,866.89",177659
11/11/2016,Telegrafo,Mindscape,69,"5,562.78",8670
11/11/2016,Telegrafo,Arena,136,"8,697.78",19344
11/11/2016,Porta a Porta,Ellipsis,855,"26,170.84",45167
11/11/2016,Porta a Porta,Vast,1428,"35,388.45",67349
11/11/2016,TeleVenda,Mindscape,1612,"60,747.87",191879
11/11/2016,TeleVenda,Ellipsis,265,"16,231.60",15308
11/11/2016,TeleVenda,Vast,2100,"63,299.93",101117
11/11/2016,Telegrafo,Ellipsis,71,"5,711.63",4089
11/11/2016,Telegrafo,Vast,72,"3,668.79",3526
11/11/2016,Porta a Porta,Mindscape,953,"36,067.77",109468
11/11/2016,TeleVenda,Arena,278,"21,455.08",44593
11/12/2016,TeleVenda,Mindscape,1606,"60,705.18",189865
11/12/2016,Telegrafo,Mindscape,73,"7,253.65",10161
11/12/2016,TeleVenda,Arena,256,"19,874.52",39827
11/12/2016,TeleVenda,Vast,1984,"58,856.03",93346
11/12/2016,Porta a Porta,Vast,1171,"29,927.49",54801
11/12/2016,Porta a Porta,Arena,1138,"56,961.83",160168
11/12/2016,TeleVenda,Arena,2172,"91,224.12",323533
11/12/2016,TeleVenda,Mindscape,99,"6,727.71",12270
11/12/2016,TeleVenda,Ellipsis,1567,"46,522.97",86302
11/12/2016,Telegrafo,Ellipsis,56,"3,469.97",3249
11/12/2016,Porta a Porta,Ellipsis,868,"26,484.68",46136
11/12/2016,Porta a Porta,Mindscape,950,"34,612.75",105103
11/12/2016,TeleVenda,Vast,298,"19,448.30",14679
11/12/2016,TeleVenda,Ellipsis,241,"16,723.82",15109
11/12/2016,Telegrafo,Vast,65,"3,042.85",3035
11/12/2016,Telegrafo,Arena,113,"6,197.04",16188
11/13/2016,Telegrafo,Ellipsis,54,"3,924.75",3498
11/13/2016,TeleVenda,Mindscape,1653,"64,793.51",206361
11/13/2016,Porta a Porta,Vast,1347,"30,538.21",63529
11/13/2016,Porta a Porta,Arena,1509,"66,077.63",223480
11/13/2016,TeleVenda,Mindscape,110,"7,931.77",14475
11/13/2016,TeleVenda,Arena,2478,"100,016.04",371331
11/13/2016,Telegrafo,Vast,49,"1,984.84",2328
11/13/2016,TeleVenda,Vast,299,"20,202.74",14597
11/13/2016,TeleVenda,Ellipsis,1555,"47,833.53",86378
11/13/2016,TeleVenda,Ellipsis,214,"13,826.94",12752
11/13/2016,Telegrafo,Arena,136,"8,609.24",20272
11/13/2016,Porta a Porta,Ellipsis,888,"26,417.38",49348
11/13/2016,TeleVenda,Arena,227,"16,827.48",34505
11/13/2016,Porta a Porta,Mindscape,1130,"38,127.72",139101
11/13/2016,TeleVenda,Vast,2008,"61,764.23",96652
11/13/2016,Telegrafo,Mindscape,55,"3,347.45",7531
11/14/2016,TeleVenda,Mindscape,60,"3,871.14",7664
11/14/2016,TeleVenda,Ellipsis,102,"6,172.88",6192
11/14/2016,Telegrafo,Vast,76,"1,805.59",3694
11/14/2016,Porta a Porta,Arena,4505,"144,890.73",668991
11/14/2016,TeleVenda,Vast,2112,"31,691.01",103877
11/14/2016,Porta a Porta,Vast,3186,"48,086.04",155810
11/14/2016,Telegrafo,Mindscape,89,"3,210.40",11895
11/14/2016,TeleVenda,Vast,117,"6,165.50",5501
11/14/2016,TeleVenda,Arena,3659,"107,719.14",548968
11/14/2016,Telegrafo,Arena,209,"9,267.30",33075
11/14/2016,TeleVenda,Mindscape,2702,"61,402.70",350317
11/14/2016,Porta a Porta,Mindscape,3961,"94,836.67",518526
11/14/2016,TeleVenda,Ellipsis,1586,"29,257.42",96889
11/14/2016,Porta a Porta,Ellipsis,2012,"41,089.21",120736
11/14/2016,TeleVenda,Arena,117,"7,909.88",18182
11/14/2016,Telegrafo,Ellipsis,58,"2,722.68",3416
11/15/2016,Porta a Porta,Vast,2828,"43,726.00",136985
11/15/2016,Porta a Porta,Arena,2741,"92,805.75",389144
11/15/2016,Telegrafo,Ellipsis,63,"2,322.85",3402
11/15/2016,TeleVenda,Mindscape,1191,"29,432.03",147303
11/15/2016,Porta a Porta,Mindscape,2827,"69,098.47",346400
11/15/2016,TeleVenda,Arena,93,"5,566.43",14138
11/15/2016,Telegrafo,Vast,76,"2,036.61",3764
11/15/2016,Telegrafo,Arena,115,"5,290.17",17150
11/15/2016,Porta a Porta,Ellipsis,1815,"38,472.51",105458
11/15/2016,TeleVenda,Vast,1217,"20,039.63",58465
11/15/2016,Telegrafo,Mindscape,79,"4,338.61",10307
11/15/2016,TeleVenda,Arena,1468,"49,035.01",212796
11/15/2016,TeleVenda,Ellipsis,85,"4,341.83",5521
11/15/2016,TeleVenda,Ellipsis,863,"18,608.27",50668
11/15/2016,TeleVenda,Mindscape,43,"2,454.22",5657
11/15/2016,TeleVenda,Vast,93,"5,162.10",4249
11/16/2016,TeleVenda,Arena,210,"15,947.97",32273
11/16/2016,Porta a Porta,Mindscape,1676,"51,153.07",195315
11/16/2016,TeleVenda,Arena,2155,"86,479.00",315391
11/16/2016,TeleVenda,Mindscape,121,"7,732.98",14286
11/16/2016,TeleVenda,Ellipsis,247,"15,280.57",14949
11/16/2016,TeleVenda,Vast,2165,"60,960.40",100796
11/16/2016,Porta a Porta,Ellipsis,1365,"36,204.49",75782
11/16/2016,Porta a Porta,Arena,1553,"66,170.58",216804
11/16/2016,Telegrafo,Ellipsis,56,"3,195.13",3163
11/16/2016,TeleVenda,Mindscape,1740,"63,266.99",209956
11/16/2016,Porta a Porta,Vast,1942,"41,025.52",90318
11/16/2016,Telegrafo,Mindscape,78,"5,181.50",10875
11/16/2016,TeleVenda,Vast,283,"19,049.41",13886
11/16/2016,TeleVenda,Ellipsis,1689,"50,018.86",92711
11/16/2016,Telegrafo,Vast,68,"2,970.48",3245
11/16/2016,Telegrafo,Arena,123,"7,525.22",17618
11/17/2016,TeleVenda,Vast,306,"19,390.84",15126
11/17/2016,TeleVenda,Ellipsis,226,"13,867.32",14221
11/17/2016,TeleVenda,Ellipsis,1438,"45,903.64",78140
11/17/2016,TeleVenda,Arena,220,"16,152.64",33687
11/17/2016,TeleVenda,Mindscape,1355,"56,693.57",160088
11/17/2016,Telegrafo,Mindscape,74,"6,215.41",10014
11/17/2016,Porta a Porta,Ellipsis,788,"25,625.77",42426
11/17/2016,TeleVenda,Vast,1746,"57,130.70",80399
11/17/2016,Telegrafo,Vast,78,"3,510.90",3633
11/17/2016,Porta a Porta,Mindscape,823,"32,150.70",92382
11/17/2016,Porta a Porta,Vast,1075,"28,089.08",48798
11/17/2016,TeleVenda,Arena,1829,"80,150.64",268017
11/17/2016,Telegrafo,Ellipsis,49,"3,712.02",2671
11/17/2016,TeleVenda,Mindscape,122,"8,420.57",14612
11/17/2016,Telegrafo,Arena,114,"9,036.99",16153
11/17/2016,Porta a Porta,Arena,984,"50,751.50",137470
11/18/2016,TeleVenda,Arena,1770,"78,447.14",260440
11/18/2016,TeleVenda,Ellipsis,247,"14,083.81",15029
11/18/2016,TeleVenda,Mindscape,139,"9,139.10",16391
11/18/2016,Porta a Porta,Vast,979,"25,471.94",43189
11/18/2016,Telegrafo,Vast,59,"3,092.17",2865
11/18/2016,Telegrafo,Arena,90,"6,831.58",12166
11/18/2016,Telegrafo,Ellipsis,38,"1,940.02",2197
11/18/2016,TeleVenda,Vast,1716,"55,305.95",79380
11/18/2016,TeleVenda,Mindscape,1361,"57,860.70",161418
11/18/2016,Porta a Porta,Arena,963,"49,016.94",137251
11/18/2016,TeleVenda,Arena,220,"16,797.46",34601
11/18/2016,Porta a Porta,Mindscape,767,"30,559.27",85154
11/18/2016,TeleVenda,Ellipsis,1467,"46,503.25",81115
11/18/2016,TeleVenda,Vast,309,"21,820.20",14705
11/18/2016,Porta a Porta,Ellipsis,804,"25,086.68",43226
11/18/2016,Telegrafo,Mindscape,77,"6,861.64",9220
11/19/2016,Porta a Porta,Arena,918,"45,321.43",128854
11/19/2016,Telegrafo,Vast,56,"3,387.80",2649
11/19/2016,Porta a Porta,Ellipsis,849,"26,639.99",46102
11/19/2016,TeleVenda,Mindscape,110,"7,259.51",13542
11/19/2016,TeleVenda,Arena,1746,"76,719.08",258997
11/19/2016,TeleVenda,Mindscape,1439,"59,515.32",172453
11/19/2016,TeleVenda,Arena,204,"15,872.49",30712
11/19/2016,Telegrafo,Ellipsis,51,"3,578.72",3081
11/19/2016,Telegrafo,Arena,110,"7,708.60",15693
11/19/2016,Telegrafo,Mindscape,77,"6,913.06",9546
11/19/2016,TeleVenda,Vast,291,"18,025.51",14107
11/19/2016,Porta a Porta,Mindscape,757,"29,434.24",83513
11/19/2016,TeleVenda,Ellipsis,1472,"46,202.77",81161
11/19/2016,TeleVenda,Vast,1742,"57,035.69",81947
11/19/2016,TeleVenda,Ellipsis,225,"12,442.76",13786
11/19/2016,Porta a Porta,Vast,914,"23,763.22",42290
11/20/2016,Porta a Porta,Vast,915,"25,295.25",43519
11/20/2016,TeleVenda,Mindscape,101,"6,827.17",11538
11/20/2016,Telegrafo,Ellipsis,41,"2,750.75",2189
11/20/2016,TeleVenda,Arena,197,"15,001.10",29998
11/20/2016,TeleVenda,Vast,1636,"53,139.73",78861
11/20/2016,Porta a Porta,Mindscape,662,"27,434.39",75355
11/20/2016,TeleVenda,Mindscape,1286,"57,059.16",153890
11/20/2016,Porta a Porta,Arena,794,"39,823.59",111929
11/20/2016,TeleVenda,Arena,1611,"70,031.23",236914
11/20/2016,Telegrafo,Vast,52,"2,414.30",2366
11/20/2016,TeleVenda,Vast,281,"18,297.55",13651
11/20/2016,Telegrafo,Arena,86,"5,160.31",12348
11/20/2016,TeleVenda,Ellipsis,1282,"40,976.18",70555
11/20/2016,TeleVenda,Ellipsis,222,"13,595.55",13814
11/20/2016,Porta a Porta,Ellipsis,686,"22,111.31",37225
11/20/2016,Telegrafo,Mindscape,59,"5,074.28",7892
11/21/2016,Porta a Porta,Mindscape,508,"19,312.00",57282
11/21/2016,Porta a Porta,Arena,814,"35,329.38",110426
11/21/2016,TeleVenda,Ellipsis,114,"7,355.46",7293
11/21/2016,TeleVenda,Vast,949,"18,460.14",47163
11/21/2016,TeleVenda,Mindscape,54,"3,655.49",6299
11/21/2016,TeleVenda,Arena,1271,"44,612.72",184403
11/21/2016,Porta a Porta,Ellipsis,625,"14,960.52",34546
11/21/2016,Porta a Porta,Vast,862,"18,788.05",43193
11/21/2016,TeleVenda,Arena,92,"6,208.87",13542
11/21/2016,Telegrafo,Ellipsis,31,"1,555.87",1733
11/21/2016,TeleVenda,Mindscape,781,"22,999.84",93451
11/21/2016,Telegrafo,Vast,57,"3,113.06",2670
11/21/2016,TeleVenda,Vast,128,"7,375.81",5723
11/21/2016,Telegrafo,Mindscape,42,"3,790.68",5338
11/21/2016,TeleVenda,Ellipsis,805,"17,001.36",45286
11/21/2016,Telegrafo,Arena,105,"8,687.40",14255
11/22/2016,TeleVenda,Arena,985,"33,999.93",138740
11/22/2016,Porta a Porta,Arena,809,"36,595.73",109069
11/22/2016,Telegrafo,Mindscape,30,"2,664.03",3524
11/22/2016,TeleVenda,Mindscape,670,"18,628.63",77040
11/22/2016,Porta a Porta,Mindscape,583,"20,979.06",66230
11/22/2016,Telegrafo,Vast,49,"1,592.06",2292
11/22/2016,Porta a Porta,Ellipsis,782,"18,741.54",41849
11/22/2016,TeleVenda,Arena,86,"5,609.69",12654
11/22/2016,TeleVenda,Ellipsis,812,"16,334.13",44330
11/22/2016,TeleVenda,Vast,102,"5,673.46",4669
11/22/2016,Porta a Porta,Vast,996,"21,297.24",47469
11/22/2016,Telegrafo,Arena,55,"4,871.79",8299
11/22/2016,Telegrafo,Ellipsis,36,"1,919.11",2026
11/22/2016,TeleVenda,Mindscape,45,"2,446.06",6153
11/22/2016,TeleVenda,Vast,1002,"19,296.58",48136
11/22/2016,TeleVenda,Ellipsis,87,"4,388.25",5537
11/23/2016,Telegrafo,Arena,100,"7,150.49",14436
11/23/2016,TeleVenda,Vast,1925,"61,856.49",89343
11/23/2016,TeleVenda,Ellipsis,1469,"45,838.71",81247
11/23/2016,TeleVenda,Arena,1764,"79,480.98",258234
11/23/2016,Telegrafo,Ellipsis,52,"3,004.10",3114
11/23/2016,Porta a Porta,Arena,899,"46,582.46",125382
11/23/2016,Porta a Porta,Vast,1151,"30,377.22",53576
11/23/2016,TeleVenda,Vast,289,"19,586.82",14311
11/23/2016,TeleVenda,Ellipsis,250,"15,553.13",14935
11/23/2016,TeleVenda,Mindscape,1465,"61,274.92",172953
11/23/2016,Telegrafo,Mindscape,67,"5,520.50",7975
11/23/2016,TeleVenda,Mindscape,121,"8,868.34",13329
11/23/2016,Porta a Porta,Ellipsis,936,"27,890.29",50266
11/23/2016,TeleVenda,Arena,193,"14,668.90",29017
11/23/2016,Porta a Porta,Mindscape,724,"29,110.90",81298
11/23/2016,Telegrafo,Vast,52,"2,197.88",2475
11/24/2016,Porta a Porta,Mindscape,733,"31,067.35",84740
11/24/2016,Porta a Porta,Arena,803,"42,232.50",114178
11/24/2016,TeleVenda,Ellipsis,247,"14,804.70",15757
11/24/2016,TeleVenda,Ellipsis,1481,"43,531.63",81592
11/24/2016,TeleVenda,Mindscape,1508,"63,652.66",178306
11/24/2016,Telegrafo,Arena,91,"6,471.55",12780
11/24/2016,Telegrafo,Vast,54,"3,157.81",2818
11/24/2016,Telegrafo,Mindscape,67,"5,188.02",8203
11/24/2016,Porta a Porta,Vast,983,"26,895.42",45721
11/24/2016,TeleVenda,Arena,1735,"77,362.28",257202
11/24/2016,TeleVenda,Vast,1917,"62,400.68",90324
11/24/2016,TeleVenda,Vast,291,"19,078.36",14445
11/24/2016,TeleVenda,Mindscape,132,"9,887.99",16186
11/24/2016,Telegrafo,Ellipsis,34,"1,845.84",1881
11/24/2016,Porta a Porta,Ellipsis,786,"25,069.95",43035
11/24/2016,TeleVenda,Arena,188,"14,979.44",29339
11/25/2016,TeleVenda,Mindscape,1351,"52,777.65",162440
11/25/2016,TeleVenda,Mindscape,130,"9,769.77",15440
11/25/2016,Telegrafo,Mindscape,69,"5,680.50",7986
11/25/2016,TeleVenda,Ellipsis,1246,"33,736.19",70488
11/25/2016,Telegrafo,Arena,102,"7,888.56",14114
11/25/2016,Porta a Porta,Mindscape,774,"30,417.24",87418
11/25/2016,Telegrafo,Ellipsis,52,"2,878.65",2951
11/25/2016,TeleVenda,Vast,265,"16,714.17",13224
11/25/2016,Telegrafo,Vast,46,"1,824.66",2154
11/25/2016,TeleVenda,Arena,174,"13,474.04",26539
11/25/2016,TeleVenda,Ellipsis,252,"15,416.20",15238
11/25/2016,TeleVenda,Arena,1691,"70,796.55",254160
11/25/2016,Porta a Porta,Vast,1016,"24,011.47",45839
11/25/2016,Porta a Porta,Ellipsis,767,"22,448.57",41688
11/25/2016,TeleVenda,Vast,1460,"41,126.50",69048
11/25/2016,Porta a Porta,Arena,970,"47,878.10",144350
11/26/2016,Porta a Porta,Arena,827,"42,740.28",120259
11/26/2016,Telegrafo,Ellipsis,51,"2,321.44",2916
11/26/2016,Porta a Porta,Ellipsis,751,"23,306.97",40795
11/26/2016,Telegrafo,Mindscape,81,"8,196.76",9524
11/26/2016,TeleVenda,Vast,253,"16,405.42",12429
11/26/2016,TeleVenda,Arena,1784,"78,317.57",265441
11/26/2016,TeleVenda,Ellipsis,230,"13,345.09",14332
11/26/2016,TeleVenda,Mindscape,1383,"56,004.97",164653
11/26/2016,TeleVenda,Mindscape,124,"9,221.68",15641
11/26/2016,TeleVenda,Ellipsis,1329,"41,207.93",74510
11/26/2016,Telegrafo,Arena,105,"6,151.45",14264
11/26/2016,TeleVenda,Arena,177,"14,185.86",26944
11/26/2016,Porta a Porta,Mindscape,817,"31,935.91",94535
11/26/2016,Telegrafo,Vast,54,"2,955.35",2560
11/26/2016,Porta a Porta,Vast,943,"24,456.34",42795
11/26/2016,TeleVenda,Vast,1631,"54,662.78",76149
11/27/2016,TeleVenda,Arena,182,"13,635.92",27441
11/27/2016,Porta a Porta,Vast,755,"22,377.78",34648
11/27/2016,TeleVenda,Mindscape,1503,"65,080.96",180306
11/27/2016,Telegrafo,Vast,50,"2,745.99",2257
11/27/2016,TeleVenda,Mindscape,106,"7,587.17",12855
11/27/2016,TeleVenda,Vast,1795,"62,136.63",83149
11/27/2016,TeleVenda,Ellipsis,1382,"45,715.59",77013
11/27/2016,Telegrafo,Ellipsis,48,"2,732.92",2756
11/27/2016,Telegrafo,Arena,120,"8,612.07",16894
11/27/2016,Telegrafo,Mindscape,88,"8,090.01",9079
11/27/2016,TeleVenda,Arena,1808,"80,897.47",270467
11/27/2016,TeleVenda,Vast,307,"18,865.83",14984
11/27/2016,TeleVenda,Ellipsis,241,"15,737.01",15201
11/27/2016,Porta a Porta,Arena,805,"40,929.33",114614
11/27/2016,Porta a Porta,Mindscape,727,"29,214.59",84703
11/27/2016,Porta a Porta,Ellipsis,635,"19,890.53",35725
11/28/2016,TeleVenda,Ellipsis,785,"16,929.07",44726
11/28/2016,TeleVenda,Mindscape,46,"2,677.74",5630
11/28/2016,TeleVenda,Ellipsis,137,"7,619.50",9189
11/28/2016,Telegrafo,Ellipsis,34,"1,801.86",2097
11/28/2016,Porta a Porta,Mindscape,623,"21,360.95",70122
